time,sensor_temp
0.50,25.00
1.00,25.09
1.50,25.25
2.00,25.49
2.50,25.79
3.00,26.14
3.50,26.55
4.00,27.00
4.50,27.49
5.00,28.01
5.50,28.57
6.00,29.16
6.50,29.77
7.00,30.40
7.50,31.06
8.00,31.73
8.50,32.42
9.00,33.13
9.50,33.84
10.00,34.57
10.50,35.31
11.00,36.06
11.50,36.82
12.00,37.59
12.50,38.36
13.00,39.92
13.50,40.71
14.00,41.50
14.50,42.30
15.00,43.09
15.50,43.90
16.00,44.70
16.50,45.51
17.00,46.32
17.50,47.13
18.00,47.94
18.50,48.75
19.00,49.57
19.50,50.39
20.00,51.20
20.50,52.02
21.00,52.84
21.50,53.66
22.00,54.48
22.50,55.30
23.00,56.12
23.50,56.94
24.00,57.76
24.50,58.58
25.00,59.41
25.50,60.23
26.00,61.05
26.50,61.87
27.00,63.52
27.50,64.34
28.00,65.16
28.50,65.98
29.00,66.81
29.50,67.63
30.00,68.45
30.50,69.27
31.00,70.09
31.50,70.91
32.00,71.74
32.50,72.56
33.00,73.38
33.50,74.20
34.00,75.02
34.50,75.84
35.00,76.66
35.50,77.48
36.00,78.30
36.50,79.12
37.00,79.94
37.50,80.76
38.00,81.58
38.50,82.40
39.00,83.22
39.50,84.04
40.00,84.86
40.50,85.68
41.00,86.50
41.50,87.31
42.00,88.13
42.50,88.95
43.00,89.77
43.50,91.32
44.00,92.05
44.50,92.80
45.00,93.47
